lection,season,day,week
1Th 1:1–5,Feast of the Cross,Monday,6
1Th 1:6–10,Feast of the Cross,Tuesday,6
1Th 2:1–8,Feast of the Cross,Wednesday,6
1Th 2:9–14,Feast of the Cross,Thursday,6
1Th 2:14–19,Feast of the Cross,Friday,6
2Cor 8:1–5,Feast of the Cross,Saturday,6
Eph 2:4–10,Feast of the Cross,Sunday,6
1Th 2:20–3:8,Feast of the Cross,Monday,7
1Th 3:9–13,Feast of the Cross,Tuesday,7
1Th 4:1–12,Feast of the Cross,Wednesday,7
1Th 5:1–8,Feast of the Cross,Thursday,7
"1Th 5:9–13, 24–28",Feast of the Cross,Friday,7
2Cor 11:1–6,Feast of the Cross,Saturday,7
Eph 2:4–22,Feast of the Cross,Sunday,7
2Th 1:1–10,Feast of the Cross,Monday,8
2Th 1:10–2:2,Feast of the Cross,Tuesday,8
2Th 2:1–12,Feast of the Cross,Wednesday,8
2Th 2:13–3:5,Feast of the Cross,Thursday,8
2Th 3:6–18,Feast of the Cross,Friday,8
Gal 1:3–10,Feast of the Cross,Saturday,8
Eph 4:1–6,Feast of the Cross,Sunday,8
1Tim 1:1–7,Feast of the Cross,Monday,9
1Tim 1:8–14,Feast of the Cross,Tuesday,9
1Tim 1:18–20; 2:8–15,Feast of the Cross,Wednesday,9
1Tim 3:1–13,Feast of the Cross,Thursday,9
"1Tim 4:4–8, 16",Feast of the Cross,Friday,9
Gal 3:8–12,Feast of the Cross,Saturday,9
Eph 5:9–19,Feast of the Cross,Sunday,9
1Tim 5:1–10,Feast of the Cross,Monday,10
1Tim 5:11–21,Feast of the Cross,Tuesday,10
1Tim 5:22–6:11,Feast of the Cross,Wednesday,10
1Tim 6:17–21,Feast of the Cross,Thursday,10
"2Tim 1:1, 2, 8–18",Feast of the Cross,Friday,10
Gal 5:22–6:2,Feast of the Cross,Saturday,10
Eph 6:10–17,Feast of the Cross,Sunday,10
2Tim 2:20–26,Feast of the Cross,Monday,11
2Tim 3:16–4:4,Feast of the Cross,Tuesday,11
2Tim 4:9–22,Feast of the Cross,Wednesday,11
Tit 1:5–2:1,Feast of the Cross,Thursday,11
Tit 1:15–2:10,Feast of the Cross,Friday,11
Eph 1:16–23,Feast of the Cross,Saturday,11
Col 1:12–18,Feast of the Cross,Sunday,11
Heb 3:5–11,Feast of the Cross,Monday,12
Heb 4:1–13,Feast of the Cross,Tuesday,12
Heb 5:11–6:8,Feast of the Cross,Wednesday,12
Heb 7:1–6,Feast of the Cross,Thursday,12
Heb 7:18–25,Feast of the Cross,Friday,12
Eph 2:11–13,Feast of the Cross,Saturday,12
Col 3:12–16,Feast of the Cross,Sunday,12
Heb 8:7–13,Feast of the Cross,Monday,13
"Heb 9:8–10, 15–23",Feast of the Cross,Tuesday,13
Heb 10:1–18,Feast of the Cross,Wednesday,13
Heb 10:35–11:7,Feast of the Cross,Thursday,13
"Heb 11:8, 11–16",Feast of the Cross,Friday,13
Eph 5:1–8,Feast of the Cross,Saturday,13
Col 3:12–16,Feast of the Cross,Sunday,13
"Heb 11:17, 27–31",Feast of the Cross,Monday,14
"Heb 12:25, 26; 13:22–25",Feast of the Cross,Tuesday,14
Jas 1:1–18,Feast of the Cross,Wednesday,14
Jas 1:19–27,Feast of the Cross,Thursday,14
Jas 2:1–13,Feast of the Cross,Friday,14
Col 1:3–6,Feast of the Cross,Saturday,14
1Tim 1:15–17,Feast of the Cross,Sunday,14
Jas 2:14–26,Feast of the Cross,Monday,15
Jas 3:1–10,Feast of the Cross,Tuesday,15
Jas 3:11–4:6,Feast of the Cross,Wednesday,15
Jas 4:7–5:9,Feast of the Cross,Thursday,15
"1Pt 1:1, 2, 10–12; 2:6–10",Feast of the Cross,Friday,15
1Th 5:14–23,Feast of the Cross,Saturday,15
1Tim 4:9–15,Feast of the Cross,Sunday,15
1Pt 2:21–3:9,Feast of the Cross,Monday,16
1Pt 3:10–22,Feast of the Cross,Tuesday,16
1Pt 4:1–11,Feast of the Cross,Wednesday,16
1Pt 4:12–5:5,Feast of the Cross,Thursday,16
2Pt 1:1–10,Feast of the Cross,Friday,16
2Tim 2:11–19,Feast of the Cross,Saturday,16
2Tim 3:10–15,Feast of the Cross,Sunday,16
2Pt 1:20–2:9,Feast of the Cross,Monday,17
2Pt 2:9–22,Feast of the Cross,Tuesday,17
2Pt 3:1–18,Feast of the Cross,Wednesday,17
1Jn 1:8–2:6,Feast of the Cross,Thursday,17
1Jn 2:7–17,Feast of the Cross,Friday,17
2Tim 3:1–9,Feast of the Cross,Saturday,17
1Cor 6:12–20,Feast of the Cross,Sunday,17
1Jn 2:18–3:10,Feast of the Cross,Monday,Meat Fare Week
1Jn 3:11–20,Feast of the Cross,Tuesday,Meat Fare Week
1Jn 3:21–4:6,Feast of the Cross,Wednesday,Meat Fare Week
1Jn 4:20–5:21,Feast of the Cross,Thursday,Meat Fare Week
2Jn 1–13,Feast of the Cross,Friday,Meat Fare Week
1Cor 10:23–28,Feast of the Cross,Saturday,Meat Fare Week
1Cor 8:8–9:2,Feast of the Cross,Sunday,Meat Fare Week
3Jn 1–14,Feast of the Cross,Monday,Cheese Fare Week
Jude 1–10,Feast of the Cross,Tuesday,Cheese Fare Week
Jude 11–25,Feast of the Cross,Thursday,Cheese Fare Week
Zech 8:19–23,Feast of the Cross,Friday,Cheese Fare Week
Rom 14:19–23; 16:25–27,Feast of the Cross,Saturday,Cheese Fare Week
Rom 13:11–14:4,Feast of the Cross,Sunday,Cheese Fare Week
Heb 1:1–12,Lent,Saturday,1
"Heb 11:24–26, 32–12:2",Lent,Sunday,1
Heb 3:12–16,Lent,Saturday,2
Heb 1:10–2:3,Lent,Sunday,2
Heb 10:32–38,Lent,Saturday,3
Heb 4:14–5:6,Lent,Sunday,3
Heb 6:9–12,Lent,Saturday,4
Heb 6:13–20,Lent,Sunday,4
Heb 9:24–28,Lent,Saturday,5
